50.0000,-70.0000,1.5000
47.3469,-68.5714,1.5000
44.6939,-67.1429,1.5000
42.0408,-65.7143,1.5000
39.3878,-64.2857,1.5000
36.7347,-62.8571,1.5000
34.0816,-61.4286,1.5000
31.4286,-60.0000,1.5000
28.7755,-58.5714,1.5000
26.1224,-57.1429,1.5000
23.4694,-55.7143,1.5000
20.8163,-54.2857,1.5000
18.1633,-52.8571,1.5000
15.5102,-51.4286,1.5000
12.8571,-50.0000,1.5000
10.2041,-48.5714,1.5000
7.5510,-47.1429,1.5000
4.8980,-45.7143,1.5000
2.2449,-44.2857,1.5000
-0.4082,-42.8571,1.5000
-3.0612,-41.4286,1.5000
-5.7143,-40.0000,1.5000
-8.3673,-38.5714,1.5000
-11.0204,-37.1429,1.5000
-13.6735,-35.7143,1.5000
-16.3265,-34.2857,1.5000
-18.9796,-32.8571,1.5000
-21.6327,-31.4286,1.5000
-24.2857,-30.0000,1.5000
-26.9388,-28.5714,1.5000
-29.5918,-27.1429,1.5000
-32.2449,-25.7143,1.5000
-34.8980,-24.2857,1.5000
-37.5510,-22.8571,1.5000
-40.2041,-21.4286,1.5000
-42.8571,-20.0000,1.5000
-45.5102,-18.5714,1.5000
-48.1633,-17.1429,1.5000
-50.8163,-15.7143,1.5000
-53.4694,-14.2857,1.5000
-56.1224,-12.8571,1.5000
-58.7755,-11.4286,1.5000
-61.4286,-10.0000,1.5000
-64.0816,-8.5714,1.5000
-66.7347,-7.1429,1.5000
-69.3878,-5.7143,1.5000
-72.0408,-4.2857,1.5000
-74.6939,-2.8571,1.5000
-77.3469,-1.4286,1.5000
-80.0000,0.0000,1.5000
